Col1,Col2,Col3,X,Y
Col1-0001,Col2-0001,Col3-001,7776.505484,4635.477394
Col1-0001,Col2-0002,Col3-002,36735.84841,30608.92078
Col1-0002,Col2-0001,Col3-003,25654.27102,54622.77324
Col1-0002,Col2-0002,Col3-004,114460.4591,55766.76168
Col1-0003,Col2-0001,Col3-005,117611.8771,61642.01852
Col1-0003,Col2-0002,Col3-006,99501.48099,4232.773885
Col1-0004,Col2-0001,Col3-007,102171.0858,51535.29825
Col1-0004,Col2-0002,Col3-008,60077.61995,71181.07614
Col1-0004,Col2-0003,Col3-009,100468.8499,59590.51131
Col1-0005,Col2-0004,Col3-010,30855.99154,8448.618107
Col1-0005,Col2-0005,Col3-010,114189.7701,49744.60895
Col1-0005,Col2-0006,Col3-010,63888.82677,29743.53056
Col1-0005,Col2-0007,Col3-010,56361.72663,14639.92441
Col1-0005,Col2-0008,Col3-010,122782.8677,18780.80378
Col1-0005,Col2-0009,Col3-011,93306.6814,37461.31294
Col1-0005,Col2-0010,Col3-012,25329.86541,20155.17598
Col1-0005,Col2-0011,Col3-011,46058.08298,47062.44432
Col1-0005,Col2-0012,Col3-010,46070.67408,41289.39537
Col1-0005,Col2-0013,Col3-010,22931.13312,68104.29881
Col1-0005,Col2-0014,Col3-010,111314.8255,16239.01975
Col1-0005,Col2-0015,Col3-011,96356.17411,22437.25007
Col1-0005,Col2-0016,Col3-011,11962.31213,12186.60036
Col1-0005,Col2-0017,Col3-011,63396.82181,57456.82294
Col1-0005,Col2-0018,Col3-011,63373.81776,35902.67383
Col1-0005,Col2-0019,Col3-011,6026.339777,73252.18162
Col1-0005,Col2-0020,Col3-011,75063.38944,17837.22241
Col1-0005,Col2-0021,Col3-013,61781.25489,75411.61573
Col1-0005,Col2-0021,Col3-014,119689.0381,23894.33583
Col1-0005,Col2-0021,Col3-015,81887.25909,56751.19438
Col1-0005,Col2-0021,Col3-016,90386.27422,55149.02554
Col1-0005,Col2-0021,Col3-017,76515.57432,14890.34019
Col1-0005,Col2-0021,Col3-018,119863.8232,35212.6346
Col1-0005,Col2-0021,Col3-019,6087.200091,73477.71098
Col1-0005,Col2-0021,Col3-020,55312.16861,18287.86356
Col1-0005,Col2-0021,Col3-021,4771.607968,44799.88779
Col1-0005,Col2-0021,Col3-022,10562.24151,57535.18455
Col1-0005,Col2-0021,Col3-023,26346.66958,15187.87313
Col1-0005,Col2-0022,Col3-024,65747.45136,59688.40839
Col1-0005,Col2-0023,Col3-024,61244.59959,13764.8105
Col1-0005,Col2-0024,Col3-011,67760.34545,60532.96665
Col1-0005,Col2-0025,Col3-025,37914.32033,10418.37727
Col1-0005,Col2-0026,Col3-025,39666.39468,39370.23791
Col1-0005,Col2-0027,Col3-025,89425.74089,78147.2372
Col1-0005,Col2-0028,Col3-025,117833.7577,64613.65877
Col1-0005,Col2-0029,Col3-014,94160.01531,77145.70059
Col1-0005,Col2-0030,Col3-011,87102.23179,39196.11153
Col1-0005,Col2-0031,Col3-013,47572.99146,72176.16584
Col1-0005,Col2-0031,Col3-014,39915.83742,78018.23308
Col1-0005,Col2-0031,Col3-015,123554.2466,1830.72057
Col1-0005,Col2-0031,Col3-016,112123.8465,18437.52739
Col1-0005,Col2-0031,Col3-017,124230.4947,48087.12648
Col1-0005,Col2-0031,Col3-018,25537.02786,5643.646895
Col1-0005,Col2-0031,Col3-019,40730.76293,23093.01874
Col1-0005,Col2-0031,Col3-020,22516.26045,31690.39757
Col1-0005,Col2-0031,Col3-021,81108.78693,58787.43951
Col1-0005,Col2-0031,Col3-022,16225.0636,1899.546158
Col1-0005,Col2-0031,Col3-023,114184.3351,3813.309441
Col1-0005,Col2-0032,Col3-011,75324.43799,5180.27929
Col1-0005,Col2-0033,Col3-011,11557.51222,39541.26894
Col1-0005,Col2-0034,Col3-010,48421.27158,42994.37584
Col1-0005,Col2-0035,Col3-011,59008.36689,22503.31932
Col1-0005,Col2-0036,Col3-010,105335.061,70300.69735
Col1-0005,Col2-0037,Col3-010,14345.47711,20343.39781
Col1-0005,Col2-0038,Col3-011,115373.4658,47792.9356
Col1-0005,Col2-0039,Col3-010,8126.475176,21002.21901
Col1-0005,Col2-0040,Col3-010,76877.39911,58346.47497
Col1-0005,Col2-0041,Col3-010,23030.35464,73757.93243
Col1-0005,Col2-0042,Col3-011,28000.47491,2630.836973
Col1-0005,Col2-0043,Col3-011,99364.17285,58058.8768
Col1-0005,Col2-0044,Col3-010,5758.575188,77896.96964
Col1-0005,Col2-0045,Col3-011,38880.15117,40512.89157
Col1-0005,Col2-0046,Col3-010,25791.13846,58287.15388
Col1-0005,Col2-0047,Col3-011,41429.41024,51926.7135
Col1-0005,Col2-0048,Col3-010,83739.10517,49490.64429
Col1-0005,Col2-0049,Col3-011,5319.249146,65892.56938
Col1-0005,Col2-0050,Col3-010,72080.69026,44283.70331
Col1-0005,Col2-0051,Col3-011,34669.82426,53200.30336
Col1-0005,Col2-0052,Col3-010,80665.39513,9483.799316
Col1-0005,Col2-0053,Col3-010,42463.30339,46316.06294
Col1-0005,Col2-0054,Col3-011,57222.13923,9336.891098
Col1-0005,Col2-0055,Col3-010,50443.84034,28582.06033
Col1-0005,Col2-0056,Col3-011,121218.1426,14446.37254
Col1-0005,Col2-0057,Col3-011,4329.211147,37653.58952
Col1-0005,Col2-0058,Col3-011,59576.29612,26352.58332
Col1-0005,Col2-0059,Col3-010,49267.22811,51698.8132
Col1-0005,Col2-0060,Col3-010,106819.9283,42760.10003
Col1-0005,Col2-0061,Col3-011,51647.14545,67917.20026
Col1-0005,Col2-0062,Col3-011,1016.836221,10383.8101
Col1-0005,Col2-0063,Col3-010,11400.29749,16388.80034
Col1-0005,Col2-0064,Col3-011,18627.93397,78228.56998
Col1-0005,Col2-0065,Col3-010,7835.849757,44331.96164
Col1-0005,Col2-0066,Col3-010,19986.48644,63692.4707
Col1-0005,Col2-0067,Col3-010,78554.32087,49317.25928
Col1-0005,Col2-0068,Col3-011,49431.2163,70527.20119
Col1-0005,Col2-0069,Col3-011,74975.71496,38443.38343
Col1-0005,Col2-0070,Col3-011,105090.9933,69884.99855
Col1-0005,Col2-0071,Col3-010,88999.37217,41764.84869
Col1-0005,Col2-0072,Col3-010,119463.7543,11942.88448
Col1-0005,Col2-0073,Col3-010,98330.51536,10497.90705
Col1-0005,Col2-0074,Col3-011,19760.09208,43859.48299
Col1-0005,Col2-0075,Col3-011,11294.67658,5716.058727
Col1-0005,Col2-0076,Col3-011,58055.99941,44063.63669
Col1-0005,Col2-0077,Col3-011,50378.61434,19626.39734
Col1-0005,Col2-0078,Col3-010,6853.343073,59633.18713
Col1-0005,Col2-0079,Col3-010,37921.29087,12188.90848
Col1-0005,Col2-0080,Col3-011,27884.64972,35892.48811
Col1-0005,Col2-0081,Col3-011,90357.01254,34618.61162
Col1-0005,Col2-0082,Col3-011,97141.87816,75948.82313
Col1-0005,Col2-0083,Col3-011,112134.202,24473.27824
Col1-0005,Col2-0084,Col3-026,67417.94918,52571.72945
Col1-0005,Col2-0085,Col3-026,116441.9375,14144.69834
Col1-0005,Col2-0086,Col3-026,17150.46857,74085.04273
Col1-0005,Col2-0087,Col3-026,50558.99187,56580.46973
Col1-0005,Col2-0088,Col3-026,9849.985164,76955.89784
Col1-0005,Col2-0089,Col3-026,72166.44784,52697.18704
Col1-0005,Col2-0090,Col3-026,59364.34497,55347.12011
Col1-0005,Col2-0091,Col3-026,78133.02755,56785.62513
Col1-0005,Col2-0084,Col3-027,38001.39987,23676.546
Col1-0005,Col2-0085,Col3-027,81692.07433,65676.28446
Col1-0005,Col2-0086,Col3-027,51934.7221,72859.80917
Col1-0005,Col2-0087,Col3-027,86975.09276,38305.72751
Col1-0005,Col2-0088,Col3-027,100640.8059,62305.95096
Col1-0005,Col2-0089,Col3-027,6074.778806,24938.24252
Col1-0005,Col2-0090,Col3-027,8737.050663,57741.32791
Col1-0005,Col2-0091,Col3-027,88517.28555,62727.12498
Col1-0005,Col2-0092,Col3-027,100849.6334,76133.43662
Col1-0005,Col2-0093,Col3-028,89140.58358,71911.03376
Col1-0005,Col2-0093,Col3-029,110665.4238,29312.15775
Col1-0005,Col2-0093,Col3-030,35205.49821,2210.587391
Col1-0005,Col2-0093,Col3-031,43298.11664,48848.7488
Col1-0005,Col2-0093,Col3-032,79499.68367,12407.54663
Col1-0005,Col2-0093,Col3-033,21003.43503,60207.92002
Col1-0005,Col2-0093,Col3-034,77114.20875,15987.05983
Col1-0005,Col2-0093,Col3-035,57894.02111,48238.42818
Col1-0005,Col2-0093,Col3-036,114101.0859,10173.85332
Col1-0005,Col2-0093,Col3-037,56431.1443,59929.79522
Col1-0005,Col2-0093,Col3-038,29140.40559,57153.81159
Col1-0005,Col2-0093,Col3-039,11778.24667,68185.71299
Col1-0005,Col2-0093,Col3-040,94254.89664,62602.11973
Col1-0005,Col2-0093,Col3-041,25961.72206,27840.32671
Col1-0005,Col2-0093,Col3-042,18623.91829,12326.21061
Col1-0005,Col2-0093,Col3-043,56831.65858,57461.77755
Col1-0005,Col2-0093,Col3-044,31028.8455,39076.42164
Col1-0005,Col2-0093,Col3-045,99214.35313,2753.411347
Col1-0005,Col2-0093,Col3-046,102645.0425,15702.33434
Col1-0005,Col2-0093,Col3-047,97185.16529,76019.31001
Col1-0005,Col2-0093,Col3-048,97521.65337,32642.70446
Col1-0005,Col2-0093,Col3-049,103788.7366,68035.66807
Col1-0005,Col2-0093,Col3-050,68139.04026,33124.54849
Col1-0005,Col2-0002,Col3-051,124040.4672,33737.95395
Col1-0005,Col2-0002,Col3-052,64574.35466,71809.21787
Col1-0005,Col2-0002,Col3-053,39355.43536,45741.41707
Col1-0005,Col2-0002,Col3-054,118123.1108,71097.09087
Col1-0005,Col2-0002,Col3-013,100204.8898,35356.22926
Col1-0005,Col2-0002,Col3-055,100068.9608,24405.41795
Col1-0005,Col2-0002,Col3-056,89024.099,348.6470252
Col1-0005,Col2-0002,Col3-057,17225.61544,43883.29438
Col1-0005,Col2-0002,Col3-058,24744.82679,42064.76671
Col1-0005,Col2-0002,Col3-059,62678.72119,8650.91956
Col1-0005,Col2-0002,Col3-060,65880.38857,10011.57045
Col1-0005,Col2-0002,Col3-061,82038.39312,45938.67451
Col1-0005,Col2-0002,Col3-062,122028.8828,7814.132239
Col1-0005,Col2-0002,Col3-063,100057.3985,44617.22375
Col1-0005,Col2-0002,Col3-064,36045.52936,33584.32522
Col1-0005,Col2-0002,Col3-065,50446.15306,46240.24868
Col1-0005,Col2-0002,Col3-066,10052.68826,1761.133432
Col1-0005,Col2-0002,Col3-067,122032.4011,11340.12434
Col1-0005,Col2-0002,Col3-068,29198.78109,49077.04218
Col1-0005,Col2-0002,Col3-069,91749.53332,65547.59061
Col1-0005,Col2-0002,Col3-070,122565.1665,50724.4677
Col1-0005,Col2-0002,Col3-071,11111.26701,23124.5411
Col1-0005,Col2-0002,Col3-072,26138.63794,67321.08012
Col1-0005,Col2-0002,Col3-073,86742.68373,12975.98962
Col1-0005,Col2-0002,Col3-074,1208.861203,41285.57821
Col1-0005,Col2-0002,Col3-075,108364.1575,15136.61628
Col1-0005,Col2-0002,Col3-076,100870.3413,36269.09721
Col1-0005,Col2-0002,Col3-014,47449.72636,62876.45666
Col1-0005,Col2-0002,Col3-077,93834.79492,79420.7814
Col1-0005,Col2-0002,Col3-078,28550.56418,77070.03922
Col1-0005,Col2-0002,Col3-079,23385.74693,607.4114983
